endpoint_id,method,full_path,api_version,module,handler,source_file,source_line,auth_required,roles,tenant_scope,client_scope,supplier_scope,request_type,accepts_files,side_effects,rate_limit,idempotent,risk,dast_priority,evidence_status,bola_bfla_status,consumer_status,used_by_frontend,used_by_mobile
EP-0011,GET,/api/v3/analytics/summary,v3,analytics,analytics_summary,backend/src/api/routes/v3/analytics_api.py,263,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,LOW,LOW,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,False,False
EP-0012,GET,/api/v3/analytics/trends,v3,analytics,analytics_trends,backend/src/api/routes/v3/analytics_api.py,311,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,LOW,LOW,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_NOT_USED,False,False
EP-0013,GET,/api/v3/clients/,v3,clients,list_clients,backend/src/api/routes/v3/clients.py,371,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,CRITICAL,CRITICAL,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0014,POST,/api/v3/clients/,v3,clients,create_client,backend/src/api/routes/v3/clients.py,357,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,CRITICAL,CRITICAL,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0015,GET,/api/v3/clients/{client_id},v3,clients,get_client,backend/src/api/routes/v3/clients.py,391,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,CRITICAL,CRITICAL,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0016,PATCH,/api/v3/clients/{client_id},v3,clients,update_client,backend/src/api/routes/v3/clients.py,404,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,CRITICAL,CRITICAL,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0017,GET,/api/v3/clients/{client_id}/position-labels,v3,clients,list_client_position_labels,backend/src/api/routes/v3/client_position_labels.py,174,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0018,POST,/api/v3/clients/{client_id}/position-labels,v3,clients,create_client_position_label,backend/src/api/routes/v3/client_position_labels.py,212,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0019,POST,/api/v3/clients/{client_id}/position-labels/marker-set,v3,clients,create_client_position_marker_set,backend/src/api/routes/v3/client_position_labels.py,248,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0020,GET,/api/v3/clients/{client_id}/position-labels/{label_id},v3,clients,get_client_position_label,backend/src/api/routes/v3/client_position_labels.py,284,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0021,PATCH,/api/v3/clients/{client_id}/position-labels/{label_id},v3,clients,update_client_position_label,backend/src/api/routes/v3/client_position_labels.py,307,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0022,GET,/api/v3/clients/{client_id}/position-labels/{label_id}/download,v3,clients,download_client_position_label,backend/src/api/routes/v3/client_position_labels.py,464,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0023,POST,/api/v3/clients/{client_id}/position-labels/{label_id}/invalidate,v3,clients,invalidate_client_position_label,backend/src/api/routes/v3/client_position_labels.py,337,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0024,GET,/api/v3/clients/{client_id}/position-labels/{label_id}/preview,v3,clients,preview_client_position_label,backend/src/api/routes/v3/client_position_labels.py,442,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0025,POST,/api/v3/clients/{client_id}/position-labels/{label_id}/render,v3,clients,render_client_position_label,backend/src/api/routes/v3/client_position_labels.py,366,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0026,POST,/api/v3/clients/{client_id}/product-labels,v3,clients,issue_product_labels,backend/src/api/routes/v3/client_product_labels.py,49,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0027,GET,/api/v3/clients/{client_id}/suppliers,v3,clients,list_client_suppliers,backend/src/api/routes/v3/clients.py,452,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0028,POST,/api/v3/clients/{client_id}/suppliers,v3,clients,create_client_supplier,backend/src/api/routes/v3/clients.py,428,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0029,GET,/api/v3/clients/{client_id}/suppliers/{supplier_id},v3,clients,get_client_supplier,backend/src/api/routes/v3/clients.py,477,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0030,GET,/api/v3/clients/{client_id}/suppliers/{supplier_id}/extraction-profiles,v3,clients,list_supplier_extraction_profiles,backend/src/api/routes/v3/clients.py,806,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0031,POST,/api/v3/clients/{client_id}/suppliers/{supplier_id}/extraction-profiles,v3,clients,create_supplier_extraction_profile,backend/src/api/routes/v3/clients.py,831,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0032,GET,/api/v3/clients/{client_id}/suppliers/{supplier_id}/extraction-profiles/active,v3,clients,get_active_supplier_extraction_profile,backend/src/api/routes/v3/clients.py,869,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0033,POST,/api/v3/clients/{client_id}/suppliers/{supplier_id}/extraction-profiles/clone,v3,clients,clone_supplier_extraction_profile,backend/src/api/routes/v3/clients.py,922,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0034,POST,/api/v3/clients/{client_id}/suppliers/{supplier_id}/extraction-profiles/test,v3,clients,test_supplier_extraction_profile,backend/src/api/routes/v3/clients.py,949,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0035,POST,/api/v3/clients/{client_id}/suppliers/{supplier_id}/extraction-profiles/test-code,v3,clients,test_supplier_label_recognition_code,backend/src/api/routes/v3/clients.py,993,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0036,GET,/api/v3/clients/{client_id}/suppliers/{supplier_id}/extraction-profiles/versions/{version},v3,clients,get_supplier_extraction_profile_by_version,backend/src/api/routes/v3/clients.py,896,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0037,POST,/api/v3/clients/{client_id}/suppliers/{supplier_id}/extraction-profiles/{profile_id}/activate,v3,clients,activate_supplier_extraction_profile,backend/src/api/routes/v3/clients.py,1036,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0038,GET,/api/v3/clients/{client_id}/suppliers/{supplier_id}/label-profiles,v3,clients,list_client_supplier_label_profiles,backend/src/api/routes/v3/clients.py,1130,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0039,PUT,/api/v3/clients/{client_id}/suppliers/{supplier_id}/label-profiles/{label_kind},v3,clients,upsert_client_supplier_label_profile,backend/src/api/routes/v3/clients.py,1159,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0040,GET,/api/v3/clients/{client_id}/suppliers/{supplier_id}/prompt-configs,v3,clients,list_supplier_prompt_configs,backend/src/api/routes/v3/clients.py,668,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0041,POST,/api/v3/clients/{client_id}/suppliers/{supplier_id}/prompt-configs,v3,clients,create_supplier_prompt_config,backend/src/api/routes/v3/clients.py,698,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0042,GET,/api/v3/clients/{client_id}/suppliers/{supplier_id}/prompt-configs/active,v3,clients,get_active_supplier_prompt_config,backend/src/api/routes/v3/clients.py,728,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0043,GET,/api/v3/clients/{client_id}/suppliers/{supplier_id}/prompt-configs/{config_id},v3,clients,get_supplier_prompt_config,backend/src/api/routes/v3/clients.py,760,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0044,POST,/api/v3/clients/{client_id}/suppliers/{supplier_id}/prompt-configs/{config_id}/activate,v3,clients,activate_supplier_prompt_config,backend/src/api/routes/v3/clients.py,782,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0045,GET,/api/v3/clients/{client_id}/suppliers/{supplier_id}/reference-images,v3,clients,list_supplier_reference_images,backend/src/api/routes/v3/clients.py,491,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0046,POST,/api/v3/clients/{client_id}/suppliers/{supplier_id}/reference-images,v3,clients,upload_supplier_reference_images,backend/src/api/routes/v3/clients.py,512,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,multipart,True,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0047,DELETE,/api/v3/clients/{client_id}/suppliers/{supplier_id}/reference-images/{image_id},v3,clients,delete_supplier_reference_image,backend/src/api/routes/v3/clients.py,561,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,mutates_state|deletes_or_soft_deletes,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0048,GET,/api/v3/clients/{client_id}/suppliers/{supplier_id}/reference-images/{image_id}/annotations,v3,clients,list_supplier_reference_annotations,backend/src/api/routes/v3/clients.py,1071,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0049,PUT,/api/v3/clients/{client_id}/suppliers/{supplier_id}/reference-images/{image_id}/annotations,v3,clients,replace_supplier_reference_annotations,backend/src/api/routes/v3/clients.py,1099,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0050,GET,/api/v3/clients/{client_id}/suppliers/{supplier_id}/reference-images/{image_id}/file,v3,clients,get_supplier_reference_image_file,backend/src/api/routes/v3/clients.py,635,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0051,GET,/api/v3/clients/{client_id}/suppliers/{supplier_id}/reference-images/{image_id}/image-display-url,v3,clients,get_supplier_reference_image_display_url,backend/src/api/routes/v3/clients.py,599,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0052,GET,/api/v3/config/extraction-profile-capabilities,v3,config,get_extraction_profile_capabilities,backend/src/api/routes/v3/config.py,49,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,aisle_or_profile,none_or_query,False,read_only,none_declared,True,LOW,LOW,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,True,False
EP-0053,GET,/api/v3/config/processing-observability-capabilities,v3,config,get_processing_observability_capabilities,backend/src/api/routes/v3/config.py,77,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,starts_processing|may_consume_ai,none_declared,True,HIGH,HIGH,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,True,False
EP-0054,GET,/api/v3/config/upload-limits,v3,config,get_upload_limits,backend/src/api/routes/v3/config.py,27,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,stores_files,none_declared,True,HIGH,HIGH,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,True,True
EP-0055,GET,/api/v3/inventories/,v3,inventories,list_inventories,backend/src/api/routes/v3/inventories.py,190,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,CRITICAL,CRITICAL,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,True,True
EP-0056,POST,/api/v3/inventories/,v3,inventories,create_inventory,backend/src/api/routes/v3/inventories.py,111,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,MEDIUM,MEDIUM,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,True,True
EP-0057,POST,/api/v3/inventories/bulk-soft-delete,v3,inventories,bulk_soft_delete_inventories,backend/src/api/routes/v3/inventories.py,137,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state|deletes_or_soft_deletes,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_NOT_USED,False,False
EP-0058,GET,/api/v3/inventories/ordered-capture-sessions/{session_id},v3,inventories,get_ordered_capture_session,backend/src/api/routes/v3/ordered_capture.py,67,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,LOW,LOW,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,False,True
EP-0059,POST,/api/v3/inventories/ordered-capture-sessions/{session_id}/seal,v3,inventories,seal_ordered_capture_session,backend/src/api/routes/v3/ordered_capture.py,87,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,MEDIUM,MEDIUM,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,False,False
EP-0060,GET,/api/v3/inventories/processing-provider-options,v3,inventories,list_processing_provider_options,backend/src/api/routes/v3/inventories.py,229,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,starts_processing|may_consume_ai,none_declared,True,HIGH,HIGH,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,True,False
EP-0061,GET,/api/v3/inventories/{inventory_id},v3,inventories,get_inventory,backend/src/api/routes/v3/inventories.py,409,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,CRITICAL,CRITICAL,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,True,True
EP-0062,PATCH,/api/v3/inventories/{inventory_id},v3,inventories,update_inventory,backend/src/api/routes/v3/inventories.py,160,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,CRITICAL,CRITICAL,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,True,True
EP-0063,GET,/api/v3/inventories/{inventory_id}/aisles,v3,aisles,list_aisles,backend/src/api/routes/v3/aisles.py,506,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0064,POST,/api/v3/inventories/{inventory_id}/aisles,v3,aisles,create_aisle,backend/src/api/routes/v3/aisles.py,380,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0065,PATCH,/api/v3/inventories/{inventory_id}/aisles/{aisle_id},v3,aisles,update_aisle_code,backend/src/api/routes/v3/aisles.py,411,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,True
EP-0066,POST,/api/v3/inventories/{inventory_id}/aisles/{aisle_id}/activate,v3,aisles,activate_aisle,backend/src/api/routes/v3/aisles.py,483,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0067,GET,/api/v3/inventories/{inventory_id}/aisles/{aisle_id}/assets,v3,assets,list_aisle_assets,backend/src/api/routes/v3/assets.py,186,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,LOW,LOW,VERIFIED,CONTROL_VERIFIED,REGISTERED_AND_USED,False,True
EP-0068,POST,/api/v3/inventories/{inventory_id}/aisles/{aisle_id}/assets,v3,assets,upload_aisle_assets,backend/src/api/routes/v3/assets.py,113,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,multipart,True,mutates_state|stores_files,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,CONTROL_VERIFIED,REGISTERED_AND_USED,False,True
EP-0069,DELETE,/api/v3/inventories/{inventory_id}/aisles/{aisle_id}/assets/{asset_id},v3,assets,delete_aisle_source_asset,backend/src/api/routes/v3/assets.py,389,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,mutates_state|deletes_or_soft_deletes,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,CONTROL_VERIFIED,REGISTERED_AND_USED,False,True
EP-0070,PUT,/api/v3/inventories/{inventory_id}/aisles/{aisle_id}/assets/{asset_id}/authoritative-code-scan,v3,assets,put_authoritative_local_code_scan,backend/src/api/routes/v3/authoritative_local_code_scan.py,33,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0071,POST,/api/v3/inventories/{inventory_id}/aisles/{aisle_id}/assets/{asset_id}/authoritative-exclusion,v3,assets,post_authoritative_exclusion,backend/src/api/routes/v3/authoritative_aisle_finalization.py,102,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,multipart,True,mutates_state|stores_files,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_NOT_USED,False,False
EP-0072,GET,/api/v3/inventories/{inventory_id}/aisles/{aisle_id}/assets/{asset_id}/file,v3,assets,get_aisle_asset_file,backend/src/api/routes/v3/assets.py,202,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,LOW,LOW,VERIFIED,CONTROL_VERIFIED,REGISTERED_AND_USED,False,False
EP-0073,GET,/api/v3/inventories/{inventory_id}/aisles/{aisle_id}/assets/{asset_id}/image-display-url,v3,assets,get_aisle_asset_image_display_url,backend/src/api/routes/v3/assets.py,302,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,LOW,LOW,VERIFIED,CONTROL_VERIFIED,REGISTERED_AND_USED,False,False
EP-0074,POST,/api/v3/inventories/{inventory_id}/aisles/{aisle_id}/assets/{source_asset_id}/manual-result,v3,assets,create_manual_image_result,backend/src/api/routes/v3/image_results.py,158,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,multipart,True,mutates_state|stores_files,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
