benchmark_sequence,original_sequence,filename,scenario,category,scenario_kind,sha256
59,106,106_item.jpg,item_single_valid,item,item,88980fe42688e7aac9b8346ae3126b6e54e1bcf391707a01643dbd1245282299
60,216,216_multi_true.jpg,multi_true_2,multi_true,multi_true,c17640aa3acfcc593af774764aa79bee5dd5468c797734919ad0a27f58003ccf
61,107,107_item.jpg,item_single_valid,item,item,ad1937f1c263ac290e2b05afd22d7e3cc31b075364d6f80a03007f7000d4dc48
62,247,247_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,8927b6b823ba66783633f536e239b8b6de89c1c0300e0dcd1d7fbe38eab45549
63,17,017_position.jpg,position_single_valid,position,position,f887c1196841615cd55517c60167d4db4d12a7687145ff3baa6535b4be8e7559
64,108,108_item.jpg,item_single_valid,item,item,ffdeb6d99652579113466f4b73ab484d1ea3ec0658d0a8d96d88b131fef6d381
65,277,277_multi_false.jpg,multi_false_2,multi_false,multi_false,79a64d915734627a99a7ed8a3a2cc0e1de53b07e37bfa6ac295979cb5a9780c1
66,18,018_position.jpg,position_single_valid,position,position,882f64825422bffae3371cf7a6ecc3bf7a69e5e5186cab891968f564a2a6cbbb
67,109,109_item.jpg,item_single_valid,item,item,6b7660196baeb6d0234563442d0d99b90d36f65cefdfea0ed1d0783954e99671
68,110,110_item.jpg,item_single_valid,item,item,fd8522c74158d62b6c88b39d10d1787a910edf3534e167d81fe0eaec347d9180
69,217,217_multi_true.jpg,multi_true_2,multi_true,multi_true,541401254bdf852475236cad0163a0c10fa771d6c6da26affca69ff55608bf84
70,19,019_position.jpg,position_single_valid,position,position,6e9e30a5321646fdb326f398e8dfb968d38a5f7a32d4de0d8803fc5345ac1eb7
71,111,111_item.jpg,item_single_valid,item,item,d159dfb92f8a374d2e3e2ab461e255ec91cd91491263549489e0b4f0e3e064a9
72,248,248_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,08e713cef09cd7c67ba15db012f490e03c6b4ac1e27dff0e5768ed3f919af3d1
73,112,112_item.jpg,item_single_valid,item,item,2ee56aa551a8e36e0f82d546e50a96e4ff36704e63736e8335d3f9c307cd4767
74,20,020_position.jpg,position_single_valid,position,position,fd40a0954080fb6caa34fc1f58a5b27a0e37fda832e93f9bad69840fade5ce49
75,113,113_item.jpg,item_single_valid,item,item,08a99937ac4e640c753a2186f365acd5e7f2dc1a507fc72bcb546838b0d1421c
76,278,278_multi_false.jpg,multi_false_2,multi_false,multi_false,87bb1f23183334282ced44650414b6e5bef2af8643438cdbcb81b07ee26f38d1
77,21,021_position.jpg,position_single_valid,position,position,8bc1d65e15b28053e073d40fc45c075850f907070b2cd39115566358c7fc78d7
78,114,114_item.jpg,item_single_valid,item,item,f4b2e90b38f96c31fd1e9bd020a7ce689e916d47cfaddb38ab4a9ca131b4963c
79,218,218_multi_true.jpg,multi_true_2,multi_true,multi_true,a07c22dff9d18cea9cf273389735d11c50b456cac6300e1318d33818a1314025
80,115,115_item.jpg,item_single_valid,item,item,127d4d7ecddf30f0e5159879a533313b47432ba7eec0650090743ed8180fa7e5
81,22,022_position.jpg,position_single_valid,position,position,aad78bfb94380ccd28d8bcd5a4782204cea9b840af416aa8d64e8cd77b0ebdf0
82,116,116_item.jpg,item_single_valid,item,item,fee406e5af1a20ec74c253b040267a02215fc56b6d533f8beb35d9da922b29a1
83,249,249_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,c62b9e82758dc69fab3506a431b16c081ef1d0c8d3dbc7806e892c56d4e9ab0d
84,23,023_position.jpg,position_single_valid,position,position,9ecbfca45ca64bc6378bb6beca7289a3926a50fa9792b26db20b5e037d0b3860
85,117,117_item.jpg,item_single_valid,item,item,4ccf026b5703fa84788b2e2b1a5454ad973d19c889a2ce4f570df10b9981a0c8
86,279,279_multi_false.jpg,multi_false_2,multi_false,multi_false,cca9d9fecc2665f2585dcaff866fb7c35b6035b130d2729291035a632042ffd9
87,118,118_item.jpg,item_single_valid,item,item,be098b79afb5c751af7263c1b8ce3d2579b1aec362ad1899c09690c15f9544a3
88,24,024_position.jpg,position_single_valid,position,position,29cbf0639fab22aac32cc40002b225807b7461d9db113103b75b2577ed5b16a7
89,119,119_item.jpg,item_single_valid,item,item,c5716d6e83febd82fa83ebf7f9862dfb2bcc54f933a4c2e0021703b8b5d4f1ad
90,219,219_multi_true.jpg,multi_true_2,multi_true,multi_true,70470875e5b13ead92081975bcfb52a4535f3241725a9445f04f22b4b8d16d00
91,120,120_item.jpg,item_single_valid,item,item,14750dcf733d9dc00342d0237118ad9c986f951167a9589c5f72643599f0f28b
92,250,250_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,18b13c6e7e921bc7ff37972257f8853e4777696f3947be4da844f3b6bcae040b
93,25,025_position.jpg,position_single_valid,position,position,58d15006c317cf5eda44eba383241ecdd74de45f8062b596371b1d6ef2535506
94,121,121_item.jpg,item_single_valid,item,item,4f2067c107fe28c8e2f068d22be9171b3fc04c862bf6ab9e810b001b265536d8
95,280,280_multi_false.jpg,multi_false_2,multi_false,multi_false,a77103fc555cb6f21a9576d10562a862496ce6b9b5888f08d2142a25259bc54e
96,26,026_position.jpg,position_single_valid,position,position,a48a67f77b78d5abb0b423ae0f5fec9f1d99d7b8300927bd4da0afeb91605cda
97,122,122_item.jpg,item_single_valid,item,item,fd568b61423ed7d8ce2238c90a594919f577ea9bb61b96df55c4cd03ba834fe1
98,123,123_item.jpg,item_single_valid,item,item,a12e1ce91ef2d92a441f9f0585d24443b14a6d14a43b91d9e04030548ad2d905
99,220,220_multi_true.jpg,multi_true_2,multi_true,multi_true,ccb31a07b9916211c47080f5e70f9a7a17f01eff07958ffe675b9d5947e4586a
100,27,027_position.jpg,position_single_valid,position,position,2fea5895ebcb0f04ea59b5920b26a8515051f69d26e90637c0f3eddfb35102fb
101,124,124_item.jpg,item_single_valid,item,item,da38e61734e7fed77f3b04baa84ca0dc83760de7baa0282784ee34bfb69a9ad6
102,251,251_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,ec5ef13b7d45d9bd9db355d7bc402bb142fad20e16e11cc29417c57ed3413ee9
103,125,125_item.jpg,item_single_valid,item,item,d9a780dd4f0ef14ad5832e3c53c7314b25e6459774443e05572ed0119a352fb6
104,28,028_position.jpg,position_single_valid,position,position,077fc2a594af01d1ec7a69653df520f8eecaf5a8af8aca7e120f8c945a601ae0
105,126,126_item.jpg,item_single_valid,item,item,fc3911bbbd9d0ea30b9a1fc5dc63843faec247c77ae16c54b8e1dfb0bc415aa8
106,281,281_multi_false.jpg,multi_false_2,multi_false,multi_false,2e42de2dc99ee81a94ac0df196a5394cf06af013da3a63d5c2c21a10ceaf630e
107,29,029_position.jpg,position_single_valid,position,position,b15ee3398325801353b6d5b9cd683ad966e7863cf6d6a28919f4d003f9fdcda7
108,127,127_item.jpg,item_single_valid,item,item,b2f69cd2f3f2083f44391f84507f4b975af20f1a709277eb8196c78864a18519
109,221,221_multi_true.jpg,multi_true_2,multi_true,multi_true,b23dc883e5e85c883d3fae98d9e0cf314032ec801e90a810d05ce0185eb7fbed
110,128,128_item.jpg,item_single_valid,item,item,642fd507d7d385e2e0fd1dc330a0efb721c43f3a6b32703c0a9a0f7243df608e
111,30,030_position.jpg,position_single_valid,position,position,482e9e4b6fd6456dce23808a55ab8fd843155f702251dceb5b288af4179cd6e1
112,129,129_item.jpg,item_single_valid,item,item,6e71cf1e9d64653b6e548d76a74bb91e3782c51d6ddc0168a624317ec7203024
113,252,252_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,ecae19a0f9f5a362edfd5b0b5c83d6f684a901266b59d258f2ac8d31ef501415
114,31,031_position.jpg,position_single_valid,position,position,cebf82d0e9038645ac132738f96f7a609d32993fc823cd9fb5f13c72c3858c78
115,130,130_item.jpg,item_single_valid,item,item,f766b85a16fa3038e9007c4ab565a3540dcb13b4c10ced714e8d003c0a401396
116,282,282_multi_false.jpg,multi_false_2,multi_false,multi_false,a894f3bcb8f35c0c205010b055cc5d3453d19c1e8608950e1784858ca73c0e88
117,131,131_item.jpg,item_single_valid,item,item,56bdd39c923768d8c2862d2a2f5d7d740825391c52e6e08e5b7264b1cca74aa9
118,32,032_position.jpg,position_single_valid,position,position,fc4eb4bacca265818d5404bbcde06a839f743fa8afd7b7e658f87f31e7cc58e5
119,132,132_item.jpg,item_single_valid,item,item,17112d8b7c721a2d30ec2c02af819e987c9c22b68e5d90b079ce50f391dbd4d4
120,222,222_multi_true.jpg,multi_true_2,multi_true,multi_true,3d0e2a50984aba3436865cab9a2a863c642ffdaadd36a31211cca8482f2f1760
121,133,133_item.jpg,item_single_valid,item,item,b1966532681489e665d13918920a3b2c0c9e9395d48297329f52c911aa113ce5
122,253,253_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,f9f6e368fb5b8446c689313dd7f00d1b1a6b51cd723367088386d9f8d5ddbb1b
123,33,033_position.jpg,position_single_valid,position,position,d077bc118feb9c247ba6e097c2b31b3101592b2cac5783982105f8f66655543b
124,134,134_item.jpg,item_single_valid,item,item,7739c6d27634bd67828914f7cd57ffc24adc4f230f2698e4208291c7c660f10f
125,283,283_multi_false.jpg,multi_false_2,multi_false,multi_false,2f9c23a5dee87e51f9b2fe5a6c9f74709cbcbc07c190b782f5298e7264896ade
126,34,034_position.jpg,position_single_valid,position,position,1e71ea2f9088b2d1778a30ad7e98f5721fac8ad25a47107c854e400e7e8a3414
127,135,135_item.jpg,item_single_valid,item,item,245c5d29e7c7d3f1aef3068436edd82de79dc90e5da8691fc7cd71329307746d
128,136,136_item.jpg,item_single_valid,item,item,6214db13a3b5b300492a1f5ef1da33aceaba0fc0cdfaf6d9d7ba071db3bc0164
129,223,223_multi_true.jpg,multi_true_2,multi_true,multi_true,5fbdfe038f9fe6c66c21ea24b450ba4ca41ab31df7fde79b8fc4a975922806ea
130,35,035_position.jpg,position_single_valid,position,position,c3bd7d369aabcd7b0e1eb29f148e73d7570d7e9c14b493522acd514d92996fda
131,137,137_item.jpg,item_single_valid,item,item,b904042796ae7d4ea5cdc95aa6d4193cad5c1f99e2180125ae3ae50494470c16
132,254,254_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,e1383cd62667287fc628f3f6976cbfce7f5f2f1098de03336c14e0b742dd63d4
133,138,138_item.jpg,item_single_valid,item,item,fcb96a04c377ee77e5c3bfcff887460b1c83f3ee28789c4df8212fa74263529f
134,36,036_position.jpg,position_single_valid,position,position,66995b4dea519070a5dd286dbff97d27315308121c8dd8c5abb89c9caa44b84f
135,139,139_item.jpg,item_single_valid,item,item,46f30e23f70ca9b09d7975cae37aa6d9551b071df09258a19625c87c0b27224b
136,284,284_multi_false.jpg,multi_false_2,multi_false,multi_false,2902c9195e6db730bb987a17a61059fa7a156f721e1eb4f193b2c5e9d2fdb7bb
137,37,037_position.jpg,position_single_valid,position,position,908cc03870a223831e7ce37caa891fe35b82be18594fefaddb09d8ff3823c7fb
138,140,140_item.jpg,item_single_valid,item,item,a7dbb552d1f780d3b9408826b17c8582e2fe6b26cf1f645451ad4654e83c1c88
139,224,224_multi_true.jpg,multi_true_2,multi_true,multi_true,901321c5761222621661084b8af49aa0c10df3f80a70ab56c8ca4dfbd11038e3
140,141,141_item.jpg,item_single_valid,item,item,bbe2960347064adce56942730240859dbb3e153e3e234e61e2afde1aabe303c9
141,38,038_position.jpg,position_single_valid,position,position,4af0419833c20944f0c09a396929e4c8bf8169128111cc82bc80eabc1735ce32
142,142,142_item.jpg,item_single_valid,item,item,632a8663dc17670e699b0e0cdec905d94f3c62abce0ae0db319523d9eb3c4ab9
143,255,255_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,cebffc4ed9055f1f98028a9df0288aec9aad9075ed753ed381590b331e335357
144,39,039_position.jpg,position_single_valid,position,position,f2c89081734aba129bcaf04922552da2e28b57791be30f4efdfade7f6fd97dde
145,143,143_item.jpg,item_single_valid,item,item,475354e3482c32775394f160201c634078f010953ba3c08822938468bd2ed086
146,285,285_multi_false.jpg,multi_false_2,multi_false,multi_false,5297e0ee235d66822aa4e46a038f963bef5c4ac25e8577edd6bd13c649c89464
147,144,144_item.jpg,item_single_valid,item,item,d114589e9587182e58adb9f3b4d4bccfcfed60bb3340914a51dbc0ede6986247
148,40,040_position.jpg,position_single_valid,position,position,bf71c4b445215549fd0ac6b5b599bba10192e3a11023692f3b517d1bb51d5f4b
149,145,145_item.jpg,item_single_valid,item,item,bff519c4d7d54991f8d83a314b8129b82d271773ea9bf705db2ac06c75426193
150,225,225_multi_true.jpg,multi_true_2,multi_true,multi_true,65500ff16434007dff296a73b77bcf3d501fa459a841e530ea115e1804634273
151,146,146_item.jpg,item_single_valid,item,item,794c66585ca5db3eedff68bc43dd14f92275989e1ce3c8d51be6e8ebb4912e5c
152,256,256_multi_mixed.jpg,multi_mixed_3,multi_mixed,multi_mixed,656b5eed91c11c255160baec84598ad86187e49f58b359d8a5e4f71e63f673f6
153,41,041_position.jpg,position_single_valid,position,position,d176afffa5486a57f2603b2328b4c2fda33a4b0b0f23189def6edca4b974ed57
154,147,147_item.jpg,item_single_valid,item,item,e5b308802e45f3b07977104477ddfbca81e885e95b57b3c4c0a851896e715c9b
155,286,286_multi_false.jpg,multi_false_3,multi_false,multi_false,f3a330a260e6212b53df91936f4f58165517b92022a43a23576384743a857390
156,42,042_position.jpg,position_single_valid,position,position,6a6b50d9b4eb8e342fd08e7ea5b21604f08c0a174338ba93545f106f7ab6f376
157,148,148_item.jpg,item_single_valid,item,item,683b507ab7affa0410b3738ce236a77f136fd6592b5ca88cfc15c7e93cb35573
158,149,149_item.jpg,item_single_valid,item,item,3c97df7688ea3968cda4251676bd09da4bebe5b5d3f4221c872a4306236badcc
159,226,226_multi_true.jpg,multi_true_3,multi_true,multi_true,456bfa598b562545acd60a171548508f7abf1a6082db46750a654ee0e7c6a8bd
160,43,043_position.jpg,position_single_valid,position,position,45d0629e164e3ab2f26f1fdca22bcc2c95f0fb2a5eff5c6c093ba7fe39fcad89
161,150,150_item.jpg,item_single_valid,item,item,ba4cafc5679b948ae41004df082fc22cdfc31be03e3d38418add713af1e8b32f
162,257,257_multi_mixed.jpg,multi_mixed_3,multi_mixed,multi_mixed,605724fcbe3d4b2d355925346e7252f5485394502a1aea94c480cbf384a6987e
163,151,151_item.jpg,item_single_valid,item,item,b34269a06e9183933da0bdea7840cf0835facc73e46246c6b6a53ef22f851564
164,44,044_position.jpg,position_single_valid,position,position,7e9deb7fcacd4229670bf2f861652f23f55ee3e42f3040ca5e9dd6e70cf1a10f
165,152,152_item.jpg,item_single_valid,item,item,e71dd0b96c054aa517e3ae66a957989af0e95e8f08350140ac135f2608312571
166,287,287_multi_false.jpg,multi_false_3,multi_false,multi_false,5f6b3fb4171977203ba1b49cabf7921b6640d3be55b2b741f14e0c90d513a37a
167,45,045_position.jpg,position_single_valid,position,position,a89fc3671190d16c8447c04944b3c64057717bfd1853b3ab976b8cdad0269c30
168,153,153_item.jpg,item_single_valid,item,item,022031073c803843f082e85aecb21ab8ef9e785ac78d2ae21083b8a658468b50
169,227,227_multi_true.jpg,multi_true_3,multi_true,multi_true,eeb1bed6996d13537872a92c85ed167fcfa8319d70b1b9d29e3b3654061db3f6
170,154,154_item.jpg,item_single_valid,item,item,496f46ee9421dc7c3455734565a095ec00b2da4488b2704fb57d1aa8514c2660
171,46,046_position.jpg,position_single_valid,position,position,d58516390e48d6948e8abab3c4a9a9f5e070acc1ae832e225ab94b93f02ab3d4
172,155,155_item.jpg,item_single_valid,item,item,4102f83f6a3cd12b680a60df52dabef95d3d2b052138be2ae4fe406513eb0601
173,258,258_multi_mixed.jpg,multi_mixed_3,multi_mixed,multi_mixed,b7bddb90f04e92da453b9fda1b074de7f6b8167352c3813b7d139ccc8b27f6b8
174,47,047_position.jpg,position_single_valid,position,position,d5ab633748f7a9f0d3deb47e5b881c221d448276d2669eb8189e11cbadcd623e
175,156,156_item.jpg,item_single_valid,item,item,4323bcf52f5f4a95695b88ee7b66ed86a433a2c8cba2e0723819399bf7fff2c0
176,288,288_multi_false.jpg,multi_false_3,multi_false,multi_false,63f05a46365f3f87fe162738dfb76a22671d0c2ca11b28c2ac03c437481c18de
177,157,157_item.jpg,item_single_valid,item,item,b6cff6ee5bcedcc4286441117d81347f9ee2ca4fb00cb71e538afcfac8ae12f1
178,48,048_position.jpg,position_single_valid,position,position,0404242b108d466fc6e98407c70b42a66e2e8184e9bf81a1506b181c313dfc95
179,158,158_item.jpg,item_single_valid,item,item,55a772dbbb0c3b0c644924046bd08a07d6bbd8b94a82552614daaea2eeea97a5
180,228,228_multi_true.jpg,multi_true_3,multi_true,multi_true,27df4352bb3a85b5e66b46c4c150970dd43535cbd8773fd42e827c47e88e93a9
181,159,159_item.jpg,item_single_valid,item,item,8bc06f18fc130e197362bd06cdb563a1de1dfe72b392bfcaa8470092dc4b0360
182,259,259_multi_mixed.jpg,multi_mixed_3,multi_mixed,multi_mixed,4f7107c85d2ca70f54340af0782938e122ae093a385a96a6cd2e4c57541676c5
183,49,049_position.jpg,position_single_valid,position,position,de275443611234332b2a0a37f4561aabba360c0a1c2e77ce1027e0564883a982
184,160,160_item.jpg,item_single_valid,item,item,579b8b1493c15c4ac4b5a97394e6daab765b4142d3167ff73d2b9fc8185b9789
185,289,289_multi_false.jpg,multi_false_3,multi_false,multi_false,c2ae0380e429b32f61af60971e5719b79c218872f46dbc0ef95c58fb7f5902f2
186,50,050_position.jpg,position_single_valid,position,position,7b306ddfaf0a24aca570957241a1df53b017b5d4f0eed84dbe686ef57060a11f
187,161,161_item.jpg,item_single_valid,item,item,87c79328f4d23fddbc8190a624a87427465bf6efa1dcc28326c0ce505458aad7
188,162,162_item.jpg,item_single_valid,item,item,a24240e9a40396c31b66c45f752898689490da6af8302177d66a36549a7379e0
189,229,229_multi_true.jpg,multi_true_3,multi_true,multi_true,6ae08af09001c24b61baec217723a569e0a32d590a763a3c07442d25505410a3
190,51,051_position.jpg,position_single_valid,position,position,a8d440e272fa0f646c9ea87ea7171ae07e2cdc0dc001988e25d7725ed3ebf34a
191,163,163_item.jpg,item_single_valid,item,item,8d5298d1ffe72426da9928a07b357dae35a6e3fedfbf22c0ab554cc1be013c81
192,260,260_multi_mixed.jpg,multi_mixed_3,multi_mixed,multi_mixed,0b23897d3ad39556c76d3c1164239cce76455de0af29a4d6d977fcc41f94490a
193,164,164_item.jpg,item_single_valid,item,item,7752a7b92935a5228c6600d40736be989a750c9ea5f1f84c93d4f58f0aa5f6eb
194,52,052_position.jpg,position_single_valid,position,position,1313f71a8f03b08e122f9523dd0cffb60635f80c6a8912eacc099086e2fc3088
195,165,165_item.jpg,item_single_valid,item,item,17a2e8680759ee0ce58462a075b4768436f9d2235c8b93d7a60806c26f83590a
196,290,290_multi_false.jpg,multi_false_3,multi_false,multi_false,aaeff4c56827f43be761cd0bbff62604874c250d72365336bce88666936c4fbf
197,53,053_position.jpg,position_single_valid,position,position,a22e3e60ce7aeec5dedce20227e02fd4071f5f23aae5dc8b4190cf4ef923cb8a
198,166,166_item.jpg,item_single_valid,item,item,f005b13196b3753a5223ef733996603bfb1789acb4d1f0a44fffee627ef77964
199,230,230_multi_true.jpg,multi_true_3,multi_true,multi_true,43db99a5e18470fb762597ce363e30cd3df21d7fca78c297355ca7e6bf0f9f4b
200,167,167_item.jpg,item_single_valid,item,item,7f84096b579ef79ea70013e8a99b6d882fa1909c8f801e18c5a7d4b44a1993b3
201,54,054_position.jpg,position_single_valid,position,position,7c6e4429e4f70c58ad7072086bcf2cd7e11b41d3e59889e3d26d5efb6ea7517c
