benchmark_sequence,original_sequence,filename,scenario,category,sha256,valid_andes_count,false_label_count,labels_json,size_bytes,width,height
11,85,085_item.jpg,item_single_valid,item,791a11f80c3d759a3f610350cc06c22af8b37cba10b6d6278b76ce581a151579,1,0,"[{kind: item, valid_andes: true, payload: ASI-GF2GYY|96, display: ASI-GF2GYY, qty: 96}]",57780,1200,1000
12,242,242_multi_mixed.jpg,multi_mixed_2,multi_mixed,c39e2af5bd35ae8804d5cb2155a0408d41a7f07881599b163b5091ae76df1391,1,1,"[{kind: position, valid_andes: true, payload: ASP-A05-B01-P03-R, display: ASP-A05-B01-P03-R}, {kind: false, valid_andes: false, payload: BAD0002, display: BAD-0002}]",83177,1200,1000
13,86,086_item.jpg,item_single_valid,item,821cef37555388ebeb6fd681b2fbb04a2766743e51c5f0200cf3ef2d02b5a53a,1,0,"[{kind: item, valid_andes: true, payload: ASI-SC7H2F|60, display: ASI-SC7H2F, qty: 60}]",57847,1200,1000
14,4,004_position.jpg,position_single_valid,position,64438c0f08a87d86a16ce3a4423d08cd571496a15d21f4455017d968082e193f,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B01-P02-R, display: ASP-A01-B01-P02-R}]",61959,1200,1000
15,87,087_item.jpg,item_single_valid,item,414f6d59150f9176b33fa5de1d7b0ea72d3d8b6c3b43817514167cc454b6e4e5,1,0,"[{kind: item, valid_andes: true, payload: ASI-UZNECQ|15, display: ASI-UZNECQ, qty: 15}]",58194,1200,1000
16,272,272_multi_false.jpg,multi_false_2,multi_false,49edb26856f9ac9ea3ca4dc48273b3a78cd27bb61b6b04e2fe5eed5928a6ad0c,0,2,"[{kind: false, valid_andes: false, payload: X0033, display: X-0033}, {kind: false, valid_andes: false, payload: BAD0034, display: BAD-0034}]",79355,1200,1000
17,5,005_position.jpg,position_single_valid,position,8bc3bbe92f10678dbc8edce647e1540114739fbd7fe7cbef78634011e9f783c6,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B01-P03-L, display: ASP-A01-B01-P03-L}]",61341,1200,1000
18,88,088_item.jpg,item_single_valid,item,5dcb18746c2b122d5da4bed4414ba738b21d47e736cf100e65fddd523face5cf,1,0,"[{kind: item, valid_andes: true, payload: ASI-FQG2T7|20, display: ASI-FQG2T7, qty: 20}]",57815,1200,1000
19,212,212_multi_true.jpg,multi_true_2,multi_true,13aa23f8091942ddcb30aa6f003e19c07043a7df92ac115f75379072f7c19ae3,2,0,"[{kind: position, valid_andes: true, payload: ASP-A03-B04-P02-R, display: ASP-A03-B04-P02-R}, {kind: item, valid_andes: true, payload: ASI-6YV5S7|15, display: ASI-6YV5S7, qty: 15}]",83746,1200,1000
20,89,089_item.jpg,item_single_valid,item,31c07d21a22e893be529a741ed358a89faf093401a611fcccd920bb5a0424a04,1,0,"[{kind: item, valid_andes: true, payload: ASI-LZYPTE|96, display: ASI-LZYPTE, qty: 96}]",58220,1200,1000
21,6,006_position.jpg,position_single_valid,position,e56047c0794915b35d4abb44bff08600861ef83e87dc64e9516e6a02bd0f1a3c,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B01-P03-R, display: ASP-A01-B01-P03-R}]",61059,1200,1000
22,90,090_item.jpg,item_single_valid,item,adfb7cc7197d9d84eb594948a09622cee73a159afe1dd0c65604622c52530d89,1,0,"[{kind: item, valid_andes: true, payload: ASI-LRL72T|60, display: ASI-LRL72T, qty: 60}]",56238,1200,1000
23,243,243_multi_mixed.jpg,multi_mixed_2,multi_mixed,94ea048c6dee20e0cb3a1f30221c4d512e55a163586c01fe6ed527c2a580ae2d,1,1,"[{kind: item, valid_andes: true, payload: ASI-XH4Y5D|15, display: ASI-XH4Y5D, qty: 15}, {kind: false, valid_andes: false, payload: POSX0003, display: POSX-0003}]",81506,1200,1000
24,7,007_position.jpg,position_single_valid,position,d18263320b5995d4a0b1a3cd8ef2ad119c7c89dcd7634b546bf5ca6c5ba40639,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B02-P01-L, display: ASP-A01-B02-P01-L}]",61852,1200,1000
25,91,091_item.jpg,item_single_valid,item,888ce7b4dbc84ba7f8af34bc8975ba30022d5a7eb83ca19e12280ed8745dc2e6,1,0,"[{kind: item, valid_andes: true, payload: ASI-QWDQCW|24, display: ASI-QWDQCW, qty: 24}]",57977,1200,1000
26,273,273_multi_false.jpg,multi_false_2,multi_false,3cb1baa11a9e9a6bde840f150ee9a20022daf86a5dd643fc94a76d2aa3e65355,0,2,"[{kind: false, valid_andes: false, payload: POSX0035, display: POSX-0035}, {kind: false, valid_andes: false, payload: FAKE0036, display: FAKE-0036}]",81138,1200,1000
27,92,092_item.jpg,item_single_valid,item,6f8d88753ef84a3e97758686a0552cc756ba1d1ef412b3025c272efaf4a31d78,1,0,"[{kind: item, valid_andes: true, payload: ASI-TEPWP9|24, display: ASI-TEPWP9, qty: 24}]",58080,1200,1000
28,8,008_position.jpg,position_single_valid,position,bcc45af5798c32351060a02e7ce404e1811cb428dc3e0de55ab778d4cf9dd6ae,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B02-P01-R, display: ASP-A01-B02-P01-R}]",62376,1200,1000
29,93,093_item.jpg,item_single_valid,item,c55a48d5c8e649e5a9f9749f0814d03a21ad87365518852962ff0b397bc93caf,1,0,"[{kind: item, valid_andes: true, payload: ASI-7KSJRS|72, display: ASI-7KSJRS, qty: 72}]",58199,1200,1000
30,213,213_multi_true.jpg,multi_true_2,multi_true,738adfc28c3f694525aae649b153c5b484933a18cdeaad76430a6a27e5d598b1,2,0,"[{kind: position, valid_andes: true, payload: ASP-A03-B04-P03-L, display: ASP-A03-B04-P03-L}, {kind: item, valid_andes: true, payload: ASI-N28GR2|72, display: ASI-N28GR2, qty: 72}]",83516,1200,1000
31,94,094_item.jpg,item_single_valid,item,cdd1c82485b1db77b6d1e76e1a0b331d92c48bd8841d49c27d0a54ac62b753c3,1,0,"[{kind: item, valid_andes: true, payload: ASI-53ZQJ9|3, display: ASI-53ZQJ9, qty: 3}]",57851,1200,1000
32,244,244_multi_mixed.jpg,multi_mixed_2,multi_mixed,57420df9a73c67bd9f628c6b5bf2ebffa81b515f27d531ad2c2b3572438d4925,1,1,"[{kind: position, valid_andes: true, payload: ASP-A05-B02-P01-L, display: ASP-A05-B02-P01-L}, {kind: false, valid_andes: false, payload: FAKE0004, display: FAKE-0004}]",83528,1200,1000
33,9,009_position.jpg,position_single_valid,position,9e06a86d3fdb52432075f75dc0721e1d7bd23087a3af922ecce70f4b1036c21e,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B02-P02-L, display: ASP-A01-B02-P02-L}]",61012,1200,1000
34,95,095_item.jpg,item_single_valid,item,521d6a4d9fab2432069282f607975f0ceb4a04d64816afbe954ff808d69d6928,1,0,"[{kind: item, valid_andes: true, payload: ASI-DHKL5E|24, display: ASI-DHKL5E, qty: 24}]",57683,1200,1000
35,274,274_multi_false.jpg,multi_false_2,multi_false,48ad12aeead1ed398ad6595db82c12bff6c702c1552d9d5f6dc0ca472a5cdb21,0,2,"[{kind: false, valid_andes: false, payload: X0037, display: X-0037}, {kind: false, valid_andes: false, payload: BAD0038, display: BAD-0038}]",77051,1200,1000
36,10,010_position.jpg,position_single_valid,position,8d39633ca150981ef4788e045a43e303db9904a35eea03ac7f541a0ba5d0a541,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B02-P02-R, display: ASP-A01-B02-P02-R}]",62301,1200,1000
37,96,096_item.jpg,item_single_valid,item,202009bd3dd1838c1b7c25fc54d9cb3061b9171250b3d9ab1efa7a25c91d232f,1,0,"[{kind: item, valid_andes: true, payload: ASI-27SAHT|18, display: ASI-27SAHT, qty: 18}]",56903,1200,1000
38,97,097_item.jpg,item_single_valid,item,a21dc74c27d701ee088b37fd53a65da72f48d8d5a99f02b4bfd0147e26e7005d,1,0,"[{kind: item, valid_andes: true, payload: ASI-HU5L7A|12, display: ASI-HU5L7A, qty: 12}]",57205,1200,1000
39,214,214_multi_true.jpg,multi_true_2,multi_true,bc16012f2bfd620758ef20f7f93df4016be59802411ca84511d5a58d5efa4148,2,0,"[{kind: position, valid_andes: true, payload: ASP-A03-B04-P03-R, display: ASP-A03-B04-P03-R}, {kind: item, valid_andes: true, payload: ASI-YUUB3T|1, display: ASI-YUUB3T, qty: 1}]",84058,1200,1000
40,11,011_position.jpg,position_single_valid,position,d5f4f9d072a5351c4a9aa463dafaf509ff24191addc1c398fa8967e9b415e290,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B02-P03-L, display: ASP-A01-B02-P03-L}]",61851,1200,1000
41,98,098_item.jpg,item_single_valid,item,f083fcbf619efe1b439f78bc20c5ed3259731107b1f2dd5d6465cbdf192f30f3,1,0,"[{kind: item, valid_andes: true, payload: ASI-MGVNKZ|6, display: ASI-MGVNKZ, qty: 6}]",57634,1200,1000
42,245,245_multi_mixed.jpg,multi_mixed_2,multi_mixed,7a8df3ad9ccd298001193577873c080f19d00a50202835d034238772d5816650,1,1,"[{kind: item, valid_andes: true, payload: ASI-VYGPK8|10, display: ASI-VYGPK8, qty: 10}, {kind: false, valid_andes: false, payload: X0005, display: X-0005}]",78466,1200,1000
43,99,099_item.jpg,item_single_valid,item,3372336ccb57342f4b743b96e2a6421d4f4750cda835ecb382cbcd62b03f30ca,1,0,"[{kind: item, valid_andes: true, payload: ASI-AW9BHZ|15, display: ASI-AW9BHZ, qty: 15}]",57211,1200,1000
44,12,012_position.jpg,position_single_valid,position,52a833742db3b5fdd927e78a4933706b99ffc75c6517ba2ffd401cd5da971ce2,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B02-P03-R, display: ASP-A01-B02-P03-R}]",61619,1200,1000
45,100,100_item.jpg,item_single_valid,item,ad7be9cc0407e057776ac75f347f8e94b0f6eb3b2160fe5a03929eb4439021a0,1,0,"[{kind: item, valid_andes: true, payload: ASI-RDRFF9|3, display: ASI-RDRFF9, qty: 3}]",57480,1200,1000
46,275,275_multi_false.jpg,multi_false_2,multi_false,eaccc658ff6b586faa9a3d67cd43d72b435b786cf586f19d3ea78e65cacb8d09,0,2,"[{kind: false, valid_andes: false, payload: POSX0039, display: POSX-0039}, {kind: false, valid_andes: false, payload: FAKE0040, display: FAKE-0040}]",82815,1200,1000
47,13,013_position.jpg,position_single_valid,position,a6540d670942fdf1dfe2f5ac295b66812d6276acb644bc1b96d66f3e1e8d4ab5,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B03-P01-L, display: ASP-A01-B03-P01-L}]",61344,1200,1000
48,101,101_item.jpg,item_single_valid,item,a33b5043d39d34e03aaa3a0106fc5650afd33cd123b6728d099d11ea9e834372,1,0,"[{kind: item, valid_andes: true, payload: ASI-JJ8LS5|8, display: ASI-JJ8LS5, qty: 8}]",57076,1200,1000
49,215,215_multi_true.jpg,multi_true_2,multi_true,fa0f7bceb8fff3863be2fb783c1647c82caa9fa106121c2fc097a89e930a72ca,2,0,"[{kind: position, valid_andes: true, payload: ASP-A03-B05-P01-L, display: ASP-A03-B05-P01-L}, {kind: item, valid_andes: true, payload: ASI-D9UQYQ|8, display: ASI-D9UQYQ, qty: 8}]",84481,1200,1000
50,102,102_item.jpg,item_single_valid,item,8e146c9f9fb09696183f872b7adb8708cf62b66825d258b77098636f5253cdf8,1,0,"[{kind: item, valid_andes: true, payload: ASI-NV3Z66|4, display: ASI-NV3Z66, qty: 4}]",57809,1200,1000
51,14,014_position.jpg,position_single_valid,position,97c42e5eb6ee676648f581046019ba0022c1b0a7ae00e866a2c680f29ffd455a,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B03-P01-R, display: ASP-A01-B03-P01-R}]",61159,1200,1000
52,103,103_item.jpg,item_single_valid,item,1b20cf914980b5ddf788ea55059f8c290d86e34ea68f4faad55baed4862f32e1,1,0,"[{kind: item, valid_andes: true, payload: ASI-RQEXBQ|72, display: ASI-RQEXBQ, qty: 72}]",58411,1200,1000
53,246,246_multi_mixed.jpg,multi_mixed_2,multi_mixed,7cebaaeb0af22afd4a93a3a4feadf54cb984c2d22194a2686c7846808505b5ab,1,1,"[{kind: position, valid_andes: true, payload: ASP-A05-B02-P01-R, display: ASP-A05-B02-P01-R}, {kind: false, valid_andes: false, payload: BAD0006, display: BAD-0006}]",82525,1200,1000
54,15,015_position.jpg,position_single_valid,position,21aee66f469c9b65ade990cc8148cc557600891bbb534dcf7936748781d604d3,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B03-P02-L, display: ASP-A01-B03-P02-L}]",61160,1200,1000
55,104,104_item.jpg,item_single_valid,item,9d66b3250c443c384e948fd2e65f9a6b97fd85dc50d1cb903b4200c0ffe6fd82,1,0,"[{kind: item, valid_andes: true, payload: ASI-QAEDQE|2, display: ASI-QAEDQE, qty: 2}]",57314,1200,1000
56,276,276_multi_false.jpg,multi_false_2,multi_false,646281f7c4c97334a6018af619e14db26f55754a62b0a3402416d9caf0feecae,0,2,"[{kind: false, valid_andes: false, payload: X0041, display: X-0041}, {kind: false, valid_andes: false, payload: BAD0042, display: BAD-0042}]",79031,1200,1000
57,105,105_item.jpg,item_single_valid,item,7e9075f5af69bde4e8df48f8bc4195988a6f023146e1907ac66a904d8280ab23,1,0,"[{kind: item, valid_andes: true, payload: ASI-XERT9P|60, display: ASI-XERT9P, qty: 60}]",58036,1200,1000
58,16,016_position.jpg,position_single_valid,position,2ce272155ff168950521bfb86d5f7d2303cd197f924452cd186a66e2778108a0,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B03-P02-R, display: ASP-A01-B03-P02-R}]",61092,1200,1000
59,106,106_item.jpg,item_single_valid,item,88980fe42688e7aac9b8346ae3126b6e54e1bcf391707a01643dbd1245282299,1,0,"[{kind: item, valid_andes: true, payload: ASI-J8R84N|4, display: ASI-J8R84N, qty: 4}]",57266,1200,1000
60,216,216_multi_true.jpg,multi_true_2,multi_true,c17640aa3acfcc593af774764aa79bee5dd5468c797734919ad0a27f58003ccf,2,0,"[{kind: position, valid_andes: true, payload: ASP-A03-B05-P01-R, display: ASP-A03-B05-P01-R}, {kind: item, valid_andes: true, payload: ASI-SJGCV6|2, display: ASI-SJGCV6, qty: 2}]",84428,1200,1000
61,107,107_item.jpg,item_single_valid,item,ad1937f1c263ac290e2b05afd22d7e3cc31b075364d6f80a03007f7000d4dc48,1,0,"[{kind: item, valid_andes: true, payload: ASI-G5Y547|2, display: ASI-G5Y547, qty: 2}]",56389,1200,1000
62,247,247_multi_mixed.jpg,multi_mixed_2,multi_mixed,8927b6b823ba66783633f536e239b8b6de89c1c0300e0dcd1d7fbe38eab45549,1,1,"[{kind: item, valid_andes: true, payload: ASI-GYZHTQ|30, display: ASI-GYZHTQ, qty: 30}, {kind: false, valid_andes: false, payload: POSX0007, display: POSX-0007}]",83905,1200,1000
63,17,017_position.jpg,position_single_valid,position,f887c1196841615cd55517c60167d4db4d12a7687145ff3baa6535b4be8e7559,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B03-P03-L, display: ASP-A01-B03-P03-L}]",61454,1200,1000
64,108,108_item.jpg,item_single_valid,item,ffdeb6d99652579113466f4b73ab484d1ea3ec0658d0a8d96d88b131fef6d381,1,0,"[{kind: item, valid_andes: true, payload: ASI-GD3XGR|8, display: ASI-GD3XGR, qty: 8}]",57336,1200,1000
65,277,277_multi_false.jpg,multi_false_2,multi_false,79a64d915734627a99a7ed8a3a2cc0e1de53b07e37bfa6ac295979cb5a9780c1,0,2,"[{kind: false, valid_andes: false, payload: POSX0043, display: POSX-0043}, {kind: false, valid_andes: false, payload: FAKE0044, display: FAKE-0044}]",81629,1200,1000
66,18,018_position.jpg,position_single_valid,position,882f64825422bffae3371cf7a6ecc3bf7a69e5e5186cab891968f564a2a6cbbb,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B03-P03-R, display: ASP-A01-B03-P03-R}]",62216,1200,1000
67,109,109_item.jpg,item_single_valid,item,6b7660196baeb6d0234563442d0d99b90d36f65cefdfea0ed1d0783954e99671,1,0,"[{kind: item, valid_andes: true, payload: ASI-N6J5MT|36, display: ASI-N6J5MT, qty: 36}]",57686,1200,1000
68,110,110_item.jpg,item_single_valid,item,fd8522c74158d62b6c88b39d10d1787a910edf3534e167d81fe0eaec347d9180,1,0,"[{kind: item, valid_andes: true, payload: ASI-RE6GDA|3, display: ASI-RE6GDA, qty: 3}]",57875,1200,1000
69,217,217_multi_true.jpg,multi_true_2,multi_true,541401254bdf852475236cad0163a0c10fa771d6c6da26affca69ff55608bf84,2,0,"[{kind: position, valid_andes: true, payload: ASP-A03-B05-P02-L, display: ASP-A03-B05-P02-L}, {kind: item, valid_andes: true, payload: ASI-ZJFUW4|6, display: ASI-ZJFUW4, qty: 6}]",83850,1200,1000
70,19,019_position.jpg,position_single_valid,position,6e9e30a5321646fdb326f398e8dfb968d38a5f7a32d4de0d8803fc5345ac1eb7,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B04-P01-L, display: ASP-A01-B04-P01-L}]",61992,1200,1000
71,111,111_item.jpg,item_single_valid,item,d159dfb92f8a374d2e3e2ab461e255ec91cd91491263549489e0b4f0e3e064a9,1,0,"[{kind: item, valid_andes: true, payload: ASI-RL498P|24, display: ASI-RL498P, qty: 24}]",57806,1200,1000
72,248,248_multi_mixed.jpg,multi_mixed_2,multi_mixed,08e713cef09cd7c67ba15db012f490e03c6b4ac1e27dff0e5768ed3f919af3d1,1,1,"[{kind: position, valid_andes: true, payload: ASP-A05-B02-P02-L, display: ASP-A05-B02-P02-L}, {kind: false, valid_andes: false, payload: FAKE0008, display: FAKE-0008}]",82886,1200,1000
73,112,112_item.jpg,item_single_valid,item,2ee56aa551a8e36e0f82d546e50a96e4ff36704e63736e8335d3f9c307cd4767,1,0,"[{kind: item, valid_andes: true, payload: ASI-DL2A2S|36, display: ASI-DL2A2S, qty: 36}]",58003,1200,1000
74,20,020_position.jpg,position_single_valid,position,fd40a0954080fb6caa34fc1f58a5b27a0e37fda832e93f9bad69840fade5ce49,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B04-P01-R, display: ASP-A01-B04-P01-R}]",60741,1200,1000
75,113,113_item.jpg,item_single_valid,item,08a99937ac4e640c753a2186f365acd5e7f2dc1a507fc72bcb546838b0d1421c,1,0,"[{kind: item, valid_andes: true, payload: ASI-U59KNU|8, display: ASI-U59KNU, qty: 8}]",57556,1200,1000
76,278,278_multi_false.jpg,multi_false_2,multi_false,87bb1f23183334282ced44650414b6e5bef2af8643438cdbcb81b07ee26f38d1,0,2,"[{kind: false, valid_andes: false, payload: X0045, display: X-0045}, {kind: false, valid_andes: false, payload: BAD0046, display: BAD-0046}]",79018,1200,1000
77,21,021_position.jpg,position_single_valid,position,8bc1d65e15b28053e073d40fc45c075850f907070b2cd39115566358c7fc78d7,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B04-P02-L, display: ASP-A01-B04-P02-L}]",61676,1200,1000
78,114,114_item.jpg,item_single_valid,item,f4b2e90b38f96c31fd1e9bd020a7ce689e916d47cfaddb38ab4a9ca131b4963c,1,0,"[{kind: item, valid_andes: true, payload: ASI-DDWDD8|48, display: ASI-DDWDD8, qty: 48}]",58004,1200,1000
79,218,218_multi_true.jpg,multi_true_2,multi_true,a07c22dff9d18cea9cf273389735d11c50b456cac6300e1318d33818a1314025,2,0,"[{kind: position, valid_andes: true, payload: ASP-A03-B05-P02-R, display: ASP-A03-B05-P02-R}, {kind: item, valid_andes: true, payload: ASI-NJZTLS|40, display: ASI-NJZTLS, qty: 40}]",82998,1200,1000
80,115,115_item.jpg,item_single_valid,item,127d4d7ecddf30f0e5159879a533313b47432ba7eec0650090743ed8180fa7e5,1,0,"[{kind: item, valid_andes: true, payload: ASI-LDFMEE|10, display: ASI-LDFMEE, qty: 10}]",57972,1200,1000
81,22,022_position.jpg,position_single_valid,position,aad78bfb94380ccd28d8bcd5a4782204cea9b840af416aa8d64e8cd77b0ebdf0,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B04-P02-R, display: ASP-A01-B04-P02-R}]",61702,1200,1000
82,116,116_item.jpg,item_single_valid,item,fee406e5af1a20ec74c253b040267a02215fc56b6d533f8beb35d9da922b29a1,1,0,"[{kind: item, valid_andes: true, payload: ASI-3HRCF4|72, display: ASI-3HRCF4, qty: 72}]",58227,1200,1000
83,249,249_multi_mixed.jpg,multi_mixed_2,multi_mixed,c62b9e82758dc69fab3506a431b16c081ef1d0c8d3dbc7806e892c56d4e9ab0d,1,1,"[{kind: item, valid_andes: true, payload: ASI-BTBMTV|18, display: ASI-BTBMTV, qty: 18}, {kind: false, valid_andes: false, payload: X0009, display: X-0009}]",79214,1200,1000
84,23,023_position.jpg,position_single_valid,position,9ecbfca45ca64bc6378bb6beca7289a3926a50fa9792b26db20b5e037d0b3860,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B04-P03-L, display: ASP-A01-B04-P03-L}]",61307,1200,1000
85,117,117_item.jpg,item_single_valid,item,4ccf026b5703fa84788b2e2b1a5454ad973d19c889a2ce4f570df10b9981a0c8,1,0,"[{kind: item, valid_andes: true, payload: ASI-WSPWRS|24, display: ASI-WSPWRS, qty: 24}]",58827,1200,1000
86,279,279_multi_false.jpg,multi_false_2,multi_false,cca9d9fecc2665f2585dcaff866fb7c35b6035b130d2729291035a632042ffd9,0,2,"[{kind: false, valid_andes: false, payload: POSX0047, display: POSX-0047}, {kind: false, valid_andes: false, payload: FAKE0048, display: FAKE-0048}]",80161,1200,1000
87,118,118_item.jpg,item_single_valid,item,be098b79afb5c751af7263c1b8ce3d2579b1aec362ad1899c09690c15f9544a3,1,0,"[{kind: item, valid_andes: true, payload: ASI-JV7WEA|36, display: ASI-JV7WEA, qty: 36}]",58383,1200,1000
88,24,024_position.jpg,position_single_valid,position,29cbf0639fab22aac32cc40002b225807b7461d9db113103b75b2577ed5b16a7,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B04-P03-R, display: ASP-A01-B04-P03-R}]",61835,1200,1000
89,119,119_item.jpg,item_single_valid,item,c5716d6e83febd82fa83ebf7f9862dfb2bcc54f933a4c2e0021703b8b5d4f1ad,1,0,"[{kind: item, valid_andes: true, payload: ASI-GEPSJY|3, display: ASI-GEPSJY, qty: 3}]",57488,1200,1000
90,219,219_multi_true.jpg,multi_true_2,multi_true,70470875e5b13ead92081975bcfb52a4535f3241725a9445f04f22b4b8d16d00,2,0,"[{kind: position, valid_andes: true, payload: ASP-A03-B05-P03-L, display: ASP-A03-B05-P03-L}, {kind: item, valid_andes: true, payload: ASI-UXH7EK|10, display: ASI-UXH7EK, qty: 10}]",83758,1200,1000
91,120,120_item.jpg,item_single_valid,item,14750dcf733d9dc00342d0237118ad9c986f951167a9589c5f72643599f0f28b,1,0,"[{kind: item, valid_andes: true, payload: ASI-RZUL6V|96, display: ASI-RZUL6V, qty: 96}]",58778,1200,1000
92,250,250_multi_mixed.jpg,multi_mixed_2,multi_mixed,18b13c6e7e921bc7ff37972257f8853e4777696f3947be4da844f3b6bcae040b,1,1,"[{kind: position, valid_andes: true, payload: ASP-A05-B02-P02-R, display: ASP-A05-B02-P02-R}, {kind: false, valid_andes: false, payload: BAD0010, display: BAD-0010}]",83220,1200,1000
93,25,025_position.jpg,position_single_valid,position,58d15006c317cf5eda44eba383241ecdd74de45f8062b596371b1d6ef2535506,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B05-P01-L, display: ASP-A01-B05-P01-L}]",61624,1200,1000
94,121,121_item.jpg,item_single_valid,item,4f2067c107fe28c8e2f068d22be9171b3fc04c862bf6ab9e810b001b265536d8,1,0,"[{kind: item, valid_andes: true, payload: ASI-AVGJSH|4, display: ASI-AVGJSH, qty: 4}]",57128,1200,1000
95,280,280_multi_false.jpg,multi_false_2,multi_false,a77103fc555cb6f21a9576d10562a862496ce6b9b5888f08d2142a25259bc54e,0,2,"[{kind: false, valid_andes: false, payload: X0049, display: X-0049}, {kind: false, valid_andes: false, payload: BAD0050, display: BAD-0050}]",76803,1200,1000
96,26,026_position.jpg,position_single_valid,position,a48a67f77b78d5abb0b423ae0f5fec9f1d99d7b8300927bd4da0afeb91605cda,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B05-P01-R, display: ASP-A01-B05-P01-R}]",61853,1200,1000
97,122,122_item.jpg,item_single_valid,item,fd568b61423ed7d8ce2238c90a594919f577ea9bb61b96df55c4cd03ba834fe1,1,0,"[{kind: item, valid_andes: true, payload: ASI-KTUPXP|12, display: ASI-KTUPXP, qty: 12}]",58370,1200,1000
98,123,123_item.jpg,item_single_valid,item,a12e1ce91ef2d92a441f9f0585d24443b14a6d14a43b91d9e04030548ad2d905,1,0,"[{kind: item, valid_andes: true, payload: ASI-9SDF5T|2, display: ASI-9SDF5T, qty: 2}]",56686,1200,1000
