benchmark_sequence,original_sequence,filename,scenario_kind,expected_valid_payloads,expected_false_payloads,actual_raw_detected_payloads,actual_accepted_payloads,actual_rejected_payloads,expected_position,actual_position,expected_items,actual_items,detection_result,domain_result,expected_domain_outcome,pipeline_error,scanner_processing_ms,detection_detail,domain_detail
25,91,091_item.jpg,item,ASI-QWDQCW|24,,ASI-QWDQCW|24,ASI-QWDQCW|24,,,,ASI-QWDQCW|24,ASI-QWDQCW|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,415,,
26,273,273_multi_false.jpg,multi_false,,POSX0035|FAKE0036,POSX0035|FAKE0036,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,343,,
27,92,092_item.jpg,item,ASI-TEPWP9|24,,ASI-TEPWP9|24,ASI-TEPWP9|24,,,,ASI-TEPWP9|24,ASI-TEPWP9|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,675,,
28,8,008_position.jpg,position,ASP-A01-B02-P01-R,,ASP-A01-B02-P01-R,ASP-A01-B02-P01-R,,ASP-A01-B02-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,357,,
29,93,093_item.jpg,item,ASI-7KSJRS|72,,ASI-7KSJRS|72,ASI-7KSJRS|72,,,,ASI-7KSJRS|72,ASI-7KSJRS|72,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,255,,
30,213,213_multi_true.jpg,multi_true,ASP-A03-B04-P03-L|ASI-N28GR2|72,,ASP-A03-B04-P03-L|ASI-N28GR2|72,ASI-N28GR2|72,,ASP-A03-B04-P03-L,,ASI-N28GR2|72,ASI-N28GR2|72,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,394,,status=RESOLVED;error=null
31,94,094_item.jpg,item,ASI-53ZQJ9|3,,ASI-53ZQJ9|3,ASI-53ZQJ9|3,,,,ASI-53ZQJ9|3,ASI-53ZQJ9|3,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,276,,
32,244,244_multi_mixed.jpg,multi_mixed,ASP-A05-B02-P01-L,FAKE0004,ASP-A05-B02-P01-L|FAKE0004,,,ASP-A05-B02-P01-L,,,,DETECTION_EXACT_MATCH,FALSE_NEGATIVE,MIXED_KEEP_VALID_REJECT_FALSE,,448,,missing=1
33,9,009_position.jpg,position,ASP-A01-B02-P02-L,,ASP-A01-B02-P02-L,ASP-A01-B02-P02-L,,ASP-A01-B02-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,345,,
34,95,095_item.jpg,item,ASI-DHKL5E|24,,ASI-DHKL5E|24,ASI-DHKL5E|24,,,,ASI-DHKL5E|24,ASI-DHKL5E|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,734,,
35,274,274_multi_false.jpg,multi_false,,X0037|BAD0038,X0037|BAD0038,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,379,,
36,10,010_position.jpg,position,ASP-A01-B02-P02-R,,ASP-A01-B02-P02-R,ASP-A01-B02-P02-R,,ASP-A01-B02-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,361,,
37,96,096_item.jpg,item,ASI-27SAHT|18,,ASI-27SAHT|18,ASI-27SAHT|18,,,,ASI-27SAHT|18,ASI-27SAHT|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,264,,
38,97,097_item.jpg,item,ASI-HU5L7A|12,,ASI-HU5L7A|12,ASI-HU5L7A|12,,,,ASI-HU5L7A|12,ASI-HU5L7A|12,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,275,,
39,214,214_multi_true.jpg,multi_true,ASP-A03-B04-P03-R|ASI-YUUB3T|1,,ASP-A03-B04-P03-R|ASI-YUUB3T|1,ASI-YUUB3T|1,,ASP-A03-B04-P03-R,,ASI-YUUB3T|1,ASI-YUUB3T|1,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,376,,status=RESOLVED;error=null
40,11,011_position.jpg,position,ASP-A01-B02-P03-L,,ASP-A01-B02-P03-L,ASP-A01-B02-P03-L,,ASP-A01-B02-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,264,,
41,98,098_item.jpg,item,ASI-MGVNKZ|6,,ASI-MGVNKZ|6,ASI-MGVNKZ|6,,,,ASI-MGVNKZ|6,ASI-MGVNKZ|6,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,248,,
42,245,245_multi_mixed.jpg,multi_mixed,ASI-VYGPK8|10,X0005,ASI-VYGPK8|10|X0005,ASI-VYGPK8|10,,,,ASI-VYGPK8|10,ASI-VYGPK8|10,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,339,,
43,99,099_item.jpg,item,ASI-AW9BHZ|15,,ASI-AW9BHZ|15,ASI-AW9BHZ|15,,,,ASI-AW9BHZ|15,ASI-AW9BHZ|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,264,,
44,12,012_position.jpg,position,ASP-A01-B02-P03-R,,ASP-A01-B02-P03-R,ASP-A01-B02-P03-R,,ASP-A01-B02-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,286,,
45,100,100_item.jpg,item,ASI-RDRFF9|3,,ASI-RDRFF9|3,ASI-RDRFF9|3,,,,ASI-RDRFF9|3,ASI-RDRFF9|3,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,256,,
46,275,275_multi_false.jpg,multi_false,,POSX0039|FAKE0040,POSX0039|FAKE0040,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,405,,
47,13,013_position.jpg,position,ASP-A01-B03-P01-L,,ASP-A01-B03-P01-L,ASP-A01-B03-P01-L,,ASP-A01-B03-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,275,,
48,101,101_item.jpg,item,ASI-JJ8LS5|8,,ASI-JJ8LS5|8,ASI-JJ8LS5|8,,,,ASI-JJ8LS5|8,ASI-JJ8LS5|8,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,255,,
49,215,215_multi_true.jpg,multi_true,ASP-A03-B05-P01-L|ASI-D9UQYQ|8,,ASP-A03-B05-P01-L|ASI-D9UQYQ|8,ASI-D9UQYQ|8,,ASP-A03-B05-P01-L,,ASI-D9UQYQ|8,ASI-D9UQYQ|8,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,351,,status=RESOLVED;error=null
50,102,102_item.jpg,item,ASI-NV3Z66|4,,ASI-NV3Z66|4,ASI-NV3Z66|4,,,,ASI-NV3Z66|4,ASI-NV3Z66|4,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,246,,
