benchmark_sequence,original_sequence,filename,scenario_kind,expected_valid_payloads,expected_false_payloads,actual_raw_detected_payloads,actual_accepted_payloads,actual_rejected_payloads,expected_position,actual_position,expected_items,actual_items,detection_result,domain_result,expected_domain_outcome,pipeline_error,scanner_processing_ms,detection_detail,domain_detail
11,85,085_item.jpg,item,ASI-GF2GYY|96,,ASI-GF2GYY|96,ASI-GF2GYY|96,,,,ASI-GF2GYY|96,ASI-GF2GYY|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,231,,
12,242,242_multi_mixed.jpg,multi_mixed,ASP-A05-B01-P03-R,BAD0002,ASP-A05-B01-P03-R|BAD0002,,,ASP-A05-B01-P03-R,,,,DETECTION_EXACT_MATCH,FALSE_NEGATIVE,MIXED_KEEP_VALID_REJECT_FALSE,,647,,missing=1
13,86,086_item.jpg,item,ASI-SC7H2F|60,,ASI-SC7H2F|60,ASI-SC7H2F|60,,,,ASI-SC7H2F|60,ASI-SC7H2F|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,300,,
14,4,004_position.jpg,position,ASP-A01-B01-P02-R,,ASP-A01-B01-P02-R,ASP-A01-B01-P02-R,,ASP-A01-B01-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,216,,
15,87,087_item.jpg,item,ASI-UZNECQ|15,,ASI-UZNECQ|15,ASI-UZNECQ|15,,,,ASI-UZNECQ|15,ASI-UZNECQ|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,201,,
16,272,272_multi_false.jpg,multi_false,,X0033|BAD0034,X0033|BAD0034,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,283,,
17,5,005_position.jpg,position,ASP-A01-B01-P03-L,,ASP-A01-B01-P03-L,ASP-A01-B01-P03-L,,ASP-A01-B01-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,311,,
18,88,088_item.jpg,item,ASI-FQG2T7|20,,ASI-FQG2T7|20,ASI-FQG2T7|20,,,,ASI-FQG2T7|20,ASI-FQG2T7|20,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,244,,
19,212,212_multi_true.jpg,multi_true,ASP-A03-B04-P02-R|ASI-6YV5S7|15,,ASP-A03-B04-P02-R|ASI-6YV5S7|15,ASI-6YV5S7|15,,ASP-A03-B04-P02-R,,ASI-6YV5S7|15,ASI-6YV5S7|15,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,308,,status=RESOLVED;error=null
20,89,089_item.jpg,item,ASI-LZYPTE|96,,ASI-LZYPTE|96,ASI-LZYPTE|96,,,,ASI-LZYPTE|96,ASI-LZYPTE|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,236,,
21,6,006_position.jpg,position,ASP-A01-B01-P03-R,,ASP-A01-B01-P03-R,ASP-A01-B01-P03-R,,ASP-A01-B01-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,363,,
22,90,090_item.jpg,item,ASI-LRL72T|60,,ASI-LRL72T|60,ASI-LRL72T|60,,,,ASI-LRL72T|60,ASI-LRL72T|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,263,,
23,243,243_multi_mixed.jpg,multi_mixed,ASI-XH4Y5D|15,POSX0003,ASI-XH4Y5D|15|POSX0003,ASI-XH4Y5D|15,,,,ASI-XH4Y5D|15,ASI-XH4Y5D|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,349,,
24,7,007_position.jpg,position,ASP-A01-B02-P01-L,,ASP-A01-B02-P01-L,ASP-A01-B02-P01-L,,ASP-A01-B02-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,238,,
25,91,091_item.jpg,item,ASI-QWDQCW|24,,ASI-QWDQCW|24,ASI-QWDQCW|24,,,,ASI-QWDQCW|24,ASI-QWDQCW|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,414,,
26,273,273_multi_false.jpg,multi_false,,POSX0035|FAKE0036,POSX0035|FAKE0036,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,365,,
27,92,092_item.jpg,item,ASI-TEPWP9|24,,ASI-TEPWP9|24,ASI-TEPWP9|24,,,,ASI-TEPWP9|24,ASI-TEPWP9|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,639,,
28,8,008_position.jpg,position,ASP-A01-B02-P01-R,,ASP-A01-B02-P01-R,ASP-A01-B02-P01-R,,ASP-A01-B02-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,352,,
29,93,093_item.jpg,item,ASI-7KSJRS|72,,ASI-7KSJRS|72,ASI-7KSJRS|72,,,,ASI-7KSJRS|72,ASI-7KSJRS|72,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,279,,
30,213,213_multi_true.jpg,multi_true,ASP-A03-B04-P03-L|ASI-N28GR2|72,,ASP-A03-B04-P03-L|ASI-N28GR2|72,ASI-N28GR2|72,,ASP-A03-B04-P03-L,,ASI-N28GR2|72,ASI-N28GR2|72,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,401,,status=RESOLVED;error=null
31,94,094_item.jpg,item,ASI-53ZQJ9|3,,ASI-53ZQJ9|3,ASI-53ZQJ9|3,,,,ASI-53ZQJ9|3,ASI-53ZQJ9|3,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,259,,
32,244,244_multi_mixed.jpg,multi_mixed,ASP-A05-B02-P01-L,FAKE0004,ASP-A05-B02-P01-L|FAKE0004,,,ASP-A05-B02-P01-L,,,,DETECTION_EXACT_MATCH,FALSE_NEGATIVE,MIXED_KEEP_VALID_REJECT_FALSE,,503,,missing=1
33,9,009_position.jpg,position,ASP-A01-B02-P02-L,,ASP-A01-B02-P02-L,ASP-A01-B02-P02-L,,ASP-A01-B02-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,235,,
34,95,095_item.jpg,item,ASI-DHKL5E|24,,ASI-DHKL5E|24,ASI-DHKL5E|24,,,,ASI-DHKL5E|24,ASI-DHKL5E|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,686,,
35,274,274_multi_false.jpg,multi_false,,X0037|BAD0038,X0037|BAD0038,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,382,,
36,10,010_position.jpg,position,ASP-A01-B02-P02-R,,ASP-A01-B02-P02-R,ASP-A01-B02-P02-R,,ASP-A01-B02-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,302,,
37,96,096_item.jpg,item,ASI-27SAHT|18,,ASI-27SAHT|18,ASI-27SAHT|18,,,,ASI-27SAHT|18,ASI-27SAHT|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,241,,
38,97,097_item.jpg,item,ASI-HU5L7A|12,,ASI-HU5L7A|12,ASI-HU5L7A|12,,,,ASI-HU5L7A|12,ASI-HU5L7A|12,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,287,,
39,214,214_multi_true.jpg,multi_true,ASP-A03-B04-P03-R|ASI-YUUB3T|1,,ASP-A03-B04-P03-R|ASI-YUUB3T|1,ASI-YUUB3T|1,,ASP-A03-B04-P03-R,,ASI-YUUB3T|1,ASI-YUUB3T|1,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,468,,status=RESOLVED;error=null
40,11,011_position.jpg,position,ASP-A01-B02-P03-L,,ASP-A01-B02-P03-L,ASP-A01-B02-P03-L,,ASP-A01-B02-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,284,,
41,98,098_item.jpg,item,ASI-MGVNKZ|6,,ASI-MGVNKZ|6,ASI-MGVNKZ|6,,,,ASI-MGVNKZ|6,ASI-MGVNKZ|6,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,288,,
42,245,245_multi_mixed.jpg,multi_mixed,ASI-VYGPK8|10,X0005,ASI-VYGPK8|10|X0005,ASI-VYGPK8|10,,,,ASI-VYGPK8|10,ASI-VYGPK8|10,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,382,,
43,99,099_item.jpg,item,ASI-AW9BHZ|15,,ASI-AW9BHZ|15,ASI-AW9BHZ|15,,,,ASI-AW9BHZ|15,ASI-AW9BHZ|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,420,,
44,12,012_position.jpg,position,ASP-A01-B02-P03-R,,ASP-A01-B02-P03-R,ASP-A01-B02-P03-R,,ASP-A01-B02-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,283,,
45,100,100_item.jpg,item,ASI-RDRFF9|3,,ASI-RDRFF9|3,ASI-RDRFF9|3,,,,ASI-RDRFF9|3,ASI-RDRFF9|3,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,664,,
46,275,275_multi_false.jpg,multi_false,,POSX0039|FAKE0040,POSX0039|FAKE0040,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,391,,
47,13,013_position.jpg,position,ASP-A01-B03-P01-L,,ASP-A01-B03-P01-L,ASP-A01-B03-P01-L,,ASP-A01-B03-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,244,,
48,101,101_item.jpg,item,ASI-JJ8LS5|8,,ASI-JJ8LS5|8,ASI-JJ8LS5|8,,,,ASI-JJ8LS5|8,ASI-JJ8LS5|8,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,227,,
49,215,215_multi_true.jpg,multi_true,ASP-A03-B05-P01-L|ASI-D9UQYQ|8,,ASP-A03-B05-P01-L|ASI-D9UQYQ|8,ASI-D9UQYQ|8,,ASP-A03-B05-P01-L,,ASI-D9UQYQ|8,ASI-D9UQYQ|8,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,318,,status=RESOLVED;error=null
50,102,102_item.jpg,item,ASI-NV3Z66|4,,ASI-NV3Z66|4,ASI-NV3Z66|4,,,,ASI-NV3Z66|4,ASI-NV3Z66|4,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,233,,
